"","name","city","country","region","members","fullurl","created","status","last_event","past_events","upcoming_events"
"105","R-Ladies Manaus","Manaus","Brazil","Latin America",30,"https://www.meetup.com/R-Ladies-Manaus/",2019-09-11,"Unbegun",NA,0,0
"106","R-Ladies Syracuse","Syracuse","USA","US/Canada",7,"https://www.meetup.com/rladies-syracuse/",2019-11-30,"Unbegun",NA,0,0
"107","R-Ladies San Jose","San Jose","Costa Rica","Latin America",613,"https://www.meetup.com/rladies-san-jose/",2017-10-09,"Active",2020-10-08,23,0
"108","R-Ladies New Orleans","New Orleans","USA","US/Canada",37,"https://www.meetup.com/rladies-new-orleans/",2019-11-30,"Inactive",2020-02-11,1,0
"109","R-Ladies La Paz","La Paz","Bolivia","Latin America",266,"https://www.meetup.com/rladies-la-paz/",2018-10-23,"Active",2020-12-12,23,1
"110","R-Ladies Monterrey","Monterrey","Mexico","Latin America",302,"https://www.meetup.com/rladies-monterrey/",2020-01-12,"Active",2020-12-16,7,0
"111","R-Ladies Mid-Mo","Columbia","USA","US/Canada",81,"https://www.meetup.com/rladies-mid-mo/",2019-12-15,"Active",2020-11-24,11,3
"112","R-Ladies Nairobi","Nairobi","Kenya","Africa",416,"https://www.meetup.com/rladies-nairobi/",2020-06-13,"Active",2020-12-05,5,0
"113","R-Ladies Dublin","Dublin","Ireland","Europe",818,"https://www.meetup.com/rladies-dublin/",2016-11-12,"Active",2020-11-23,24,0
"114","R-Ladies Santiago","Santiago","Chile","Latin America",2150,"https://www.meetup.com/rladies-scl/",2017-07-18,"Active",2020-09-28,40,0
"115","R-Ladies Nashville","Nashville","USA","US/Canada",508,"https://www.meetup.com/rladies-nashville/",2016-09-28,"Inactive",2020-03-09,18,0
"116","R-Ladies Chennai","Chennai","India","Asia",330,"https://www.meetup.com/rladies-chennai/",2017-10-15,"Active",2020-09-12,6,0
"117","R-Ladies Charlottesville","Charlottesville","USA","US/Canada",413,"https://www.meetup.com/rladies-charlottesville/",2017-09-21,"Inactive",2020-06-16,18,0
"118","R-Ladies Cape Town","Cape Town","South Africa","Africa",719,"https://www.meetup.com/rladies-cape-town/",2017-03-06,"Active",2020-10-28,30,0
"119","R-Ladies Brussels","Brussels","Belgium","Europe",232,"https://www.meetup.com/rladies-brussels/",2017-08-15,"Inactive",2019-03-30,10,0
"120","R-Ladies Vitória","Vitória","Brazil","Latin America",181,"https://www.meetup.com/rladies-vitoria/",2019-09-29,"Active",2020-11-28,3,0
"121","R-Ladies Strasbourg","Strasbourg","France","Europe",74,"https://www.meetup.com/rladies-strasbourg/",2017-09-27,"Active",2020-09-21,11,0
"122","R-Ladies Orlando","Orlando","USA","US/Canada",326,"https://www.meetup.com/rladies-orlando/",2017-06-05,"Inactive",2019-05-29,17,0
"123","South Central PA R-Ladies","Middletown","USA","US/Canada",9,"https://www.meetup.com/South-Central-PA-R-Ladies/",2019-08-24,"Unbegun",NA,0,0
"124","R-Ladies RTP","Durham","USA","US/Canada",799,"https://www.meetup.com/rladies-rtp/",2016-08-15,"Active",2021-01-06,50,0
"125","R-Ladies San Francisco","San Francisco","USA","US/Canada",1636,"https://www.meetup.com/rladies-san-francisco/",2012-10-01,"Active",2020-09-10,60,0
"126","R-Ladies Washington D.C.","Washington","USA","US/Canada",2050,"https://www.meetup.com/rladies-dc/",2016-12-07,"Active",2021-01-05,88,2
"127","R-Ladies Valparaíso","Valparaíso","Chile","Latin America",270,"https://www.meetup.com/rladies-valparaiso/",2018-05-18,"Active",2020-09-28,18,0
"128","R-Ladies Belo Horizonte","Belo Horizonte","Brazil","Latin America",823,"https://www.meetup.com/rladies-belo-horizonte/",2018-04-20,"Active",2020-11-21,16,0
"129","R-Ladies Bari","Bari","Italy","Europe",88,"https://www.meetup.com/rladies-bari/",2018-05-17,"Active",2020-12-15,15,0
"130","R-Ladies Milan","Milano","Italy","Europe",935,"https://www.meetup.com/rladies-milan/",2017-06-29,"Active",2020-12-15,24,0
"131","R-Ladies New York","New York","USA","US/Canada",1980,"https://www.meetup.com/rladies-newyork/",2016-08-23,"Active",2020-12-09,53,0
"132","R-Ladies Pune","Pune","India","Asia",136,"https://www.meetup.com/rladies-pune/",2019-09-29,"Active",2020-07-24,7,0
"133","R-Ladies Lexington Park","Lexington Park","USA","US/Canada",34,"https://www.meetup.com/rladies-lexington-park/",2019-08-16,"Active",2020-12-15,2,0
"134","R-Ladies Ottawa","Ottawa","Canada","US/Canada",224,"https://www.meetup.com/rladies-ottawa/",2018-12-05,"Active",2020-10-27,6,0
"135","R-Ladies Bergen","Bergen","Norway","Europe",238,"https://www.meetup.com/rladies-bergen/",2019-10-28,"Active",2020-12-15,8,0
"136","R-Ladies Cuernavaca","Cuernavaca","Mexico","Latin America",474,"https://www.meetup.com/rladies-cuernavaca/",2019-08-15,"Active",2020-11-12,9,0
"137","R-Ladies Buffalo","Buffalo","USA","US/Canada",28,"https://www.meetup.com/rladies-buffalo/",2017-05-28,"Inactive",2019-11-21,4,0
"138","R-Ladies CDMX","México City","Mexico","Latin America",1777,"https://www.meetup.com/rladies-cdmx/",2017-07-04,"Active",2020-12-11,13,0
"139","R-Ladies Yaoundé","Yaoundé","Cameroon","Africa",47,"https://www.meetup.com/rladies-yaounde/",2020-01-05,"Unbegun",NA,0,0
"140","R-Ladies Ribeirão Preto","Ribeirão Preto","Brazil","Latin America",110,"https://www.meetup.com/rladies-ribeirao-preto/",2020-03-06,"Active",2020-11-30,2,0
"141","R Ladies Aarhus","Aarhus","Denmark","Europe",7,"https://www.meetup.com/rladies-aarhus/",2020-11-20,"Unbegun",NA,0,0
"142","R-Ladies Cochabamba","Cochabamba","Bolivia","Latin America",11,"https://www.meetup.com/rladies-cochabamba/",2020-06-12,"Unbegun",NA,0,0
"143","R-Ladies Cusco","Cusco","Peru","Latin America",21,"https://www.meetup.com/rladies-cusco/",2020-05-09,"Active",2020-12-16,2,0
"144","R-Ladies Taipei","Taipei","Taiwan","Asia",1673,"https://www.meetup.com/rladies-taipei/",2016-10-23,"Inactive",2020-01-06,45,0
