"","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event","lat","lon"
"414","Poznański Horyzont Danych","Poznan","Poland","Europe",191,"https://www.meetup.com/Poznański-Horyzont-Danych/",2019-03-04,1,0,"public",2019-04-04,52.4,16.9
"415","Analytics Para Todos - Argentina Group","Buenos Aires","Argentina","Latin America",67,"https://www.meetup.com/analytics-para-todos-argentina-group/",2021-02-02,2,0,"public",2021-02-18,-34.61,-58.37
"416","AI Guild - Delhi NCR","Delhi","India","Asia",2743,"https://www.meetup.com/ai-conclave-delhi-ncr/",2017-01-12,35,0,"public",2020-12-19,28.67,77.21
"417","PyData Guatemala","Guatemala","Guatemala","Latin America",272,"https://www.meetup.com/PyData-Guatemala/",2018-03-13,1,0,"public",2018-04-21,14.63,-90.55
"418","AI & Machine Learning","Brussels","Belgium","Europe",615,"https://www.meetup.com/AI-Machine-Learning/",2018-01-05,4,0,"public",2020-04-24,50.83,4.33
"419","R-Ladies L'viv","L'viv","Ukraine","Europe",40,"https://www.meetup.com/rladies-lviv/",2019-08-31,4,0,"public",2019-10-18,49.84,24.03
"420","R-Ladies Santiago","Santiago","Chile","Latin America",2410,"https://www.meetup.com/rladies-scl/",2017-07-18,49,0,"public",2021-06-03,-33.46,-70.64
"421","R-Ladies Boulder","Boulder","USA","US/Canada",191,"https://www.meetup.com/rladies-boulder/",2018-06-11,13,0,"public",2021-06-09,40.05,-105.21
"422","R-Ladies Montpellier","Montpellier","France","Europe",149,"https://www.meetup.com/rladies-montpellier/",2018-10-17,9,0,"public",2021-04-27,43.61,3.87
"423","R-Ladies Novi Sad","Novi Sad","Serbia","Europe",141,"https://www.meetup.com/rladies-novi-sad/",2019-05-24,6,0,"public",2019-12-21,45.25,19.85
"424","UseRS","Porto Alegre","Brazil","Latin America",679,"https://www.meetup.com/UseRS_/",2015-12-22,12,0,"public",2019-11-13,-30.04,-51.22
"425","Predictive Modellers - Workshop","Hyderabad","India","Asia",314,"https://www.meetup.com/Predictive-Modellers-Meetup/",2014-07-21,3,0,"public",2014-09-06,17.4,78.48
"426","México City Business Analytics Users Group","México City","Mexico","Latin America",1518,"https://www.meetup.com/Mexico-City-Business-Analytics-Users/",2014-12-08,21,0,"public",2019-05-17,19.43,-99.14
"427","R-Ladies Philly","Philadelphia","USA","US/Canada",1519,"https://www.meetup.com/rladies-philly/",2017-10-11,61,2,"public",2021-06-16,40.12,-75.01
"428","Machine Learning Milan","Milano","Italy","Europe",3288,"https://www.meetup.com/Machine-Learning-Milan/",2017-05-31,38,0,"public",2021-06-10,45.46,9.19
"429","R-Ladies Brisbane","Brisbane","Australia","Australia",581,"https://www.meetup.com/rladies-brisbane/",2018-05-10,21,0,"public",2021-06-16,-27.46,153.02
"430","R-Ladies Sydney","Sydney","Australia","Australia",833,"https://www.meetup.com/rladies-sydney/",2018-05-09,42,1,"public",2021-05-11,-33.87,151.21
"431","R-Ladies Montevideo","Montevideo","Uruguay","Latin America",459,"https://www.meetup.com/rladies-montevideo/",2017-06-02,15,0,"public",2021-05-20,-34.87,-56.17
"432","R-Ladies Goiânia","Goiania","Brazil","Latin America",389,"https://www.meetup.com/rladies-goiania/",2019-05-06,23,0,"public",2021-05-29,-16.72,-49.26
"433","R-Ladies Columbus","Columbus","USA","US/Canada",916,"https://www.meetup.com/rladies-columbus/",2016-10-04,47,0,"public",2021-06-10,40.01,-83.02
"434","R-Ladies Tucson AZ","Tucson","USA","US/Canada",368,"https://www.meetup.com/rladies-tucson-az/",2017-11-14,62,0,"public",2021-06-09,32.22,-110.97
"435","UMUR: Usuarios Murcia R","Murcia","Spain","Europe",21,"https://www.meetup.com/UMUR-Usuarios-Murcia-R/",2020-04-01,1,0,"public",2020-04-21,37.98,-1.13
"436","Machine Learning Spain","Madrid","Spain","Europe",5059,"https://www.meetup.com/MachineLearningSpain/",2014-08-20,45,0,"public",2020-02-20,40.42,-3.71
"437","BaselR","Basel","Switzerland","Europe",496,"https://www.meetup.com/BaselR/",2010-04-13,25,0,"public_limited",2020-03-14,47.57,7.58
